source_ontology	subject_term_type	subject_term_name	relationship_type	predicate_term_name	object_term_type	object_term_name	object_term_definition
MISFISHIEOntology							

MO	Root	MGEDOntology					
MO	Class	MGEDCoreOntology	subClassOf			MGEDOntology	An ontology developed by the Microarray Gene Expression Data (MGED) Society to provide descriptors required for MAGE v.1 documents.
MO	Class	MGEDExtendedOntology	subClassOf			MGEDOntology	Location for those classes that are not in the Core ontology as they do are not containable in MAGE. It is not yet structured to work with the Core ontology
MO	Class	Scale	subClassOf			MGEDOntology	"The scale (linear, log10, ln, etc) used to represent the value."
MO	Class	URI	subClassOf			MGEDOntology	Uniform Resource Identifier
MO	Class	DataType	subClassOf			MGEDOntology	"Primitive data types found in computing languages such as float, boolean, etc."
MO	Individual	log_base_2	instanceOf			Scale	"The values presented are logarithm, base 2."
MO	Individual	log_base_e	instanceOf			Scale	"The values presented are logarithm, base e."
MO	Individual	log_base_10	instanceOf			Scale	"The values presented are logarithm, base 10."
MO	Individual	linear_scale	instanceOf			Scale	"The scale is a standard base 10, non logarithmic scale."
MO	Individual	unscaled	instanceOf			Scale	The values are unordered and have no scale.
MO	Individual	positive_float	instanceOf			DataType	
MO	Individual	discrete	instanceOf			DataType	
MO	Individual	negative_integer	instanceOf			DataType	
MO	Individual	list_of_integer	instanceOf			DataType	
MO	Class	DescriptionPackage	subClassOf			MGEDCoreOntology	MAGE package for description of annotations and references to annotations.
MO	Class	PublicationType	subClassOf			DescriptionPackage	"Controlled terms for descriptors of the type of publication such as those used by Medline (review, book, etc.)."
MO	Class	OntologyEntry	subClassOf			DescriptionPackage	External (to the MGED ontology) controlled vocabulary or ontology that can be referred such as ICD-9 or Gene Ontology.
MO	Class	DatabaseEntryType	subClassOf			DescriptionPackage	Controlled set of descriptors for the type of database record such as a protein record (in SWISS-PROT) or a gene object (in SGD).
MO	Class	Database	subClassOf			DescriptionPackage	Identifiable resource containing data or external ontologies or controlled vocabularies which has uniquely identifiable records.
MO	Class	BibliographicReference	subClassOf			DescriptionPackage	"A bibliographic reference is a published citation in a journal, book, other format e.g. web resource"

MO	Class	Protocol	hasClass	has_citation	Class	BibliographicReference	"A bibliographic reference is a published citation in a journal, book, other format e.g. web resource"
MO	Class	Protocol	subClassOf			ProtocolPackage	The MAGE package for protocols.
MO	Class	Transformation	hasClass	has_protocol	Class	Protocol	Documentation of the set of steps taken in a procedure.
MO	Class	Water	hasClass	has_treatment	Class	Protocol	Documentation of the set of steps taken in a procedure.
MO	Class	Preservation	hasClass	has_protocol	Class	Protocol	Documentation of the set of steps taken in a procedure.
MO	Class	Treatment	hasClass	has_protocol	Class	Protocol	Documentation of the set of steps taken in a procedure.
MO	Class	Protocol	hasClass	has_type	Class	ProtocolType	A controlled set of terms to provide a descriptor for the type of protocol.
MO	Class	Protocol	hasClass	has_hardware	Class	Hardware	The machine or instrument used.
MO	Class	Protocol	hasClass	has_software	Class	Software	The software application used.
MO	Class	Protocol	hasClass	has_URI	Class	URI	Uniform Resource Identifier
MO	Class	Protocol	hasThing	text		thing	
MO	Class	Protocol	hasDatatype	title		string	
MO	Class	Protocol	hasDatatype	description		string	

MO	Class	BioSequence	subClassOf		Class	BioSequencePackage	MAGE package for biological sequences (biosequence).
MO	Class	BioSequence	hasClass	has_type	Class	PolymerType	"Controlled terms for descriptors of the type of polymer (RNA, DNA, protein) of the biosequence."
MO	Class	BioSequence	hasClass	has_type	Class	BioSequenceType	"Controlled terms for descriptors indicating the type of biosequence. Types may be physical (e.g BAC, cDNA clone), or  computational (e.g unigene cluster, consensus)"
MO	Class	BioSequence	hasClass	has_species	Class	Organism	The genus and species (and subspecies) of the organism from which the biomaterial is derived from.
